"loan_id","loan_purpose","date","loan_granted","loan_repaid"
322569,"other","2012-05-22",0,NA
263415,"home","2012-01-18",1,1
651357,"emergency_funds","2012-05-07",1,1
451712,"home","2012-08-27",1,0
899414,"investment","2012-01-30",1,1
524813,"home","2012-04-26",1,0
552712,"investment","2012-08-07",0,NA
348400,"investment","2012-03-12",1,1
171072,"investment","2012-07-19",0,NA
472863,"home","2012-09-13",1,1
885748,"home","2012-09-05",1,1
722076,"home","2012-03-05",1,1
61758,"home","2012-05-02",1,1
798783,"business","2012-01-05",1,1
746485,"business","2012-03-12",0,NA
849599,"emergency_funds","2012-10-18",0,NA
81495,"emergency_funds","2012-11-21",1,1
494932,"emergency_funds","2012-03-06",0,NA
399167,"emergency_funds","2012-10-23",1,0
150211,"emergency_funds","2012-05-11",1,1
781066,"business","2012-12-19",1,1
458291,"business","2012-04-02",0,NA
546110,"other","2012-12-10",0,NA
777489,"investment","2012-07-25",0,NA
474368,"other","2012-07-23",0,NA
831760,"investment","2012-08-02",1,1
598765,"home","2012-09-17",0,NA
991999,"business","2012-12-12",0,NA
872077,"emergency_funds","2012-09-18",1,1
34687,"emergency_funds","2012-12-20",1,1
71304,"investment","2012-07-10",0,NA
325548,"emergency_funds","2012-12-25",0,NA
786169,"home","2012-06-14",1,1
423828,"home","2012-10-08",1,0
406699,"emergency_funds","2012-01-17",0,NA
459232,"home","2012-07-12",1,1
967959,"other","2012-08-27",1,0
679408,"investment","2012-09-21",1,1
251671,"home","2012-10-22",1,0
330675,"business","2012-11-16",0,NA
252227,"business","2012-05-28",0,NA
877879,"investment","2012-05-17",0,NA
476937,"business","2012-09-10",1,1
360311,"home","2012-02-13",0,NA
459183,"emergency_funds","2012-11-01",1,0
245250,"investment","2012-04-27",1,1
754229,"emergency_funds","2012-10-26",1,0
833370,"other","2012-10-16",0,NA
860606,"business","2012-10-15",0,NA
963721,"investment","2012-03-26",1,1
674220,"investment","2012-05-11",1,0
342495,"other","2012-09-25",1,1
970570,"home","2012-03-29",0,NA
745792,"investment","2012-11-23",0,NA
208219,"investment","2012-09-26",0,NA
313851,"business","2012-07-02",1,0
213491,"emergency_funds","2012-11-27",1,1
989062,"other","2012-10-05",0,NA
741424,"business","2012-03-05",1,1
187114,"emergency_funds","2012-10-12",0,NA
389632,"home","2012-06-22",1,1
669888,"business","2012-01-10",0,NA
467452,"home","2012-07-16",1,1
73201,"emergency_funds","2012-02-10",1,1
419828,"investment","2012-10-03",1,1
19102,"home","2012-06-15",1,1
593926,"business","2012-07-09",1,0
744715,"other","2012-10-22",0,NA
155501,"emergency_funds","2012-12-05",0,NA
733749,"business","2012-06-01",1,1
943786,"investment","2012-02-14",1,1
341240,"investment","2012-09-25",1,1
373766,"business","2012-08-08",1,1
162792,"business","2012-04-23",1,1
621653,"other","2012-05-28",0,NA
224492,"home","2012-07-27",0,NA
722186,"emergency_funds","2012-10-30",0,NA
401465,"other","2012-03-14",1,1
86579,"emergency_funds","2012-01-02",1,0
256625,"business","2012-03-16",1,0
367599,"emergency_funds","2012-09-05",0,NA
11002,"investment","2012-11-22",0,NA
881899,"emergency_funds","2012-01-09",0,NA
658225,"business","2012-08-13",1,0
487794,"home","2012-06-26",0,NA
842778,"investment","2012-11-07",0,NA
615506,"business","2012-03-12",1,1
348526,"home","2012-03-29",1,1
234193,"other","2012-09-10",1,1
78421,"business","2012-01-04",1,1
111700,"home","2012-06-11",0,NA
233719,"emergency_funds","2012-08-17",1,1
907779,"other","2012-09-13",0,NA
674676,"emergency_funds","2012-07-27",0,NA
169056,"business","2012-06-11",0,NA
478677,"home","2012-02-21",1,0
337847,"investment","2012-06-27",1,0
602129,"home","2012-05-07",0,NA
953795,"investment","2012-04-24",1,1
83823,"other","2012-05-28",1,1
645846,"investment","2012-09-28",1,1
224613,"home","2012-11-20",1,1
160936,"home","2012-07-16",1,1
751373,"emergency_funds","2012-07-17",1,1
778908,"emergency_funds","2012-05-22",0,NA
900942,"emergency_funds","2012-08-17",1,0
823877,"business","2012-12-13",1,1
500624,"business","2012-11-27",0,NA
479272,"business","2012-02-07",1,1
457808,"other","2012-10-01",1,1
228310,"other","2012-07-25",0,NA
324846,"other","2012-03-20",1,0
313751,"other","2012-10-03",1,0
178004,"investment","2012-10-17",1,1
156230,"emergency_funds","2012-03-30",0,NA
840369,"other","2012-10-22",0,NA
213232,"home","2012-02-22",0,NA
553272,"emergency_funds","2012-09-28",0,NA
776491,"home","2012-06-14",0,NA
156296,"home","2012-07-04",1,1
272692,"business","2012-03-16",1,1
303523,"home","2012-03-27",1,1
464090,"home","2012-05-10",1,1
275825,"home","2012-01-12",0,NA
713688,"other","2012-10-25",0,NA
960518,"home","2012-09-17",0,NA
557036,"emergency_funds","2012-06-25",0,NA
855594,"other","2012-05-01",0,NA
885964,"home","2012-12-25",0,NA
54487,"emergency_funds","2012-04-30",0,NA
475014,"investment","2012-03-14",0,NA
848692,"business","2012-10-29",1,1
434568,"investment","2012-11-30",0,NA
659348,"other","2012-12-06",0,NA
993456,"emergency_funds","2012-08-08",1,1
665815,"home","2012-09-04",0,NA
528265,"home","2012-12-11",1,0
355096,"home","2012-10-05",0,NA
140489,"business","2012-02-07",1,0
802445,"other","2012-02-06",1,0
739300,"investment","2012-09-11",1,1
606271,"home","2012-12-26",1,0
147315,"business","2012-02-28",1,1
484236,"emergency_funds","2012-03-07",0,NA
795309,"other","2012-03-06",0,NA
697453,"business","2012-06-05",1,1
121326,"home","2012-10-03",0,NA
503463,"emergency_funds","2012-11-02",1,0
357440,"business","2012-05-28",1,1
107141,"investment","2012-05-31",1,0
830317,"emergency_funds","2012-10-08",0,NA
649144,"home","2012-10-03",0,NA
601719,"investment","2012-07-11",1,1
976275,"business","2012-07-16",0,NA
296494,"home","2012-04-02",1,0
586342,"investment","2012-08-17",1,1
436160,"other","2012-02-29",0,NA
96640,"other","2012-11-27",1,1
861973,"emergency_funds","2012-03-02",1,0
934381,"other","2012-07-09",1,1
685981,"home","2012-08-27",0,NA
105350,"home","2012-05-29",0,NA
843847,"emergency_funds","2012-01-06",1,0
177852,"home","2012-05-24",1,0
62957,"home","2012-05-14",1,1
31189,"home","2012-11-27",1,1
343115,"other","2012-11-01",0,NA
493369,"emergency_funds","2012-05-11",0,NA
89499,"other","2012-08-30",0,NA
892042,"other","2012-01-11",0,NA
839889,"home","2012-11-28",1,0
795358,"investment","2012-09-13",1,1
500593,"emergency_funds","2012-05-08",0,NA
631278,"investment","2012-05-18",0,NA
604923,"home","2012-05-15",0,NA
51763,"investment","2012-03-23",0,NA
611206,"emergency_funds","2012-11-05",0,NA
840944,"home","2012-10-08",0,NA
237724,"business","2012-01-23",1,1
315366,"home","2012-01-04",0,NA
269111,"emergency_funds","2012-08-01",0,NA
486382,"business","2012-07-10",0,NA
910279,"business","2012-04-30",1,1
610407,"other","2012-05-17",0,NA
943886,"home","2012-07-24",1,1
567263,"business","2012-02-17",1,1
301631,"other","2012-08-22",0,NA
872049,"emergency_funds","2012-08-02",1,1
888568,"home","2012-11-30",0,NA
536680,"emergency_funds","2012-09-20",1,0
273571,"other","2012-08-07",0,NA
806042,"investment","2012-07-23",1,0
450437,"other","2012-12-03",0,NA
423176,"other","2012-06-12",1,1
81542,"home","2012-05-30",0,NA
806700,"emergency_funds","2012-04-16",1,0
356724,"home","2012-10-08",1,1
710276,"investment","2012-10-01",0,NA
598750,"business","2012-08-10",1,1
359239,"home","2012-03-08",1,0
315021,"home","2012-01-10",0,NA
799465,"investment","2012-01-16",1,1
539747,"other","2012-01-10",0,NA
446799,"business","2012-09-18",1,0
927419,"emergency_funds","2012-07-25",1,0
385142,"home","2012-06-14",1,0
875314,"other","2012-01-17",0,NA
584319,"emergency_funds","2012-01-16",0,NA
506398,"other","2012-08-13",0,NA
367212,"home","2012-11-09",1,1
140684,"emergency_funds","2012-04-16",0,NA
121800,"business","2012-06-07",0,NA
999202,"investment","2012-10-11",0,NA
115333,"emergency_funds","2012-03-06",0,NA
274146,"business","2012-11-12",1,0
87368,"investment","2012-07-30",0,NA
284002,"home","2012-07-31",1,0
988531,"investment","2012-01-04",0,NA
205483,"emergency_funds","2012-11-27",0,NA
482177,"business","2012-06-26",1,1
74071,"business","2012-11-05",1,0
38596,"investment","2012-06-04",0,NA
348169,"emergency_funds","2012-02-07",0,NA
669551,"home","2012-04-18",1,1
938538,"emergency_funds","2012-07-16",0,NA
967908,"investment","2012-11-27",1,1
241989,"other","2012-09-05",0,NA
842926,"business","2012-08-28",1,0
552662,"emergency_funds","2012-02-29",0,NA
787392,"business","2012-02-14",1,1
70752,"investment","2012-03-26",0,NA
339900,"business","2012-08-20",0,NA
476548,"investment","2012-01-04",0,NA
441194,"other","2012-08-13",0,NA
225892,"investment","2012-07-23",1,1
900624,"investment","2012-10-01",0,NA
907260,"emergency_funds","2012-03-29",0,NA
483728,"business","2012-08-23",1,1
826647,"investment","2012-07-30",1,1
622575,"other","2012-11-20",0,NA
132327,"investment","2012-03-13",1,0
403736,"business","2012-10-15",0,NA
311305,"emergency_funds","2012-10-23",0,NA
564268,"investment","2012-06-04",1,0
232270,"business","2012-01-18",0,NA
324520,"investment","2012-04-24",1,1
234856,"investment","2012-11-06",0,NA
740582,"home","2012-10-18",0,NA
84947,"other","2012-01-20",1,1
151269,"business","2012-04-03",0,NA
415541,"home","2012-01-13",0,NA
865652,"business","2012-06-04",0,NA
959670,"business","2012-04-09",0,NA
361333,"emergency_funds","2012-03-14",1,0
100386,"investment","2012-04-18",0,NA
529284,"home","2012-02-23",0,NA
351118,"investment","2012-11-14",1,1
72531,"home","2012-03-14",0,NA
876385,"home","2012-12-05",1,1
125942,"investment","2012-05-10",1,0
374944,"business","2012-06-08",0,NA
550688,"other","2012-08-09",0,NA
442249,"business","2012-05-28",0,NA
410857,"home","2012-06-18",1,1
133303,"home","2012-07-13",1,1
230774,"other","2012-08-21",0,NA
420317,"other","2012-10-11",1,0
552109,"investment","2012-06-11",0,NA
237648,"emergency_funds","2012-09-20",0,NA
506848,"investment","2012-10-24",0,NA
609997,"investment","2012-04-06",0,NA
786538,"other","2012-11-14",0,NA
605248,"business","2012-09-17",0,NA
720291,"investment","2012-04-17",0,NA
729735,"investment","2012-05-23",0,NA
975602,"investment","2012-11-12",0,NA
240812,"business","2012-02-13",0,NA
423824,"emergency_funds","2012-07-27",1,1
544338,"home","2012-07-09",0,NA
858386,"investment","2012-06-04",1,1
929506,"business","2012-10-19",1,1
648298,"home","2012-09-26",1,0
971609,"investment","2012-08-22",1,1
860562,"emergency_funds","2012-07-18",0,NA
159936,"emergency_funds","2012-07-30",0,NA
679866,"emergency_funds","2012-06-08",0,NA
668071,"emergency_funds","2012-08-20",1,1
150525,"emergency_funds","2012-10-24",1,1
342878,"emergency_funds","2012-10-01",0,NA
173469,"investment","2012-11-06",0,NA
681200,"business","2012-05-01",0,NA
116030,"investment","2012-03-28",1,1
817053,"emergency_funds","2012-06-18",0,NA
754107,"business","2012-02-14",1,0
3081,"emergency_funds","2012-01-23",0,NA
65088,"home","2012-05-17",1,1
753685,"investment","2012-06-21",0,NA
839802,"home","2012-04-02",0,NA
519527,"home","2012-08-16",0,NA
198596,"home","2012-04-02",0,NA
816941,"investment","2012-04-20",1,1
900122,"other","2012-03-23",0,NA
94831,"business","2012-10-11",1,1
483136,"investment","2012-03-06",0,NA
523437,"emergency_funds","2012-11-13",1,0
597356,"investment","2012-08-10",1,1
20702,"home","2012-12-12",1,1
36123,"business","2012-10-22",1,0
538761,"home","2012-05-07",1,1
609792,"home","2012-06-07",0,NA
938602,"home","2012-01-12",1,1
931603,"other","2012-08-30",0,NA
940587,"home","2012-08-24",0,NA
263449,"emergency_funds","2012-06-26",1,0
319648,"investment","2012-12-27",0,NA
534770,"business","2012-07-11",0,NA
652394,"other","2012-09-10",0,NA
26757,"emergency_funds","2012-09-06",0,NA
984452,"home","2012-08-01",0,NA
436193,"home","2012-05-16",0,NA
463305,"investment","2012-10-17",1,0
806150,"home","2012-11-13",1,0
326148,"other","2012-03-20",0,NA
608345,"other","2012-11-20",1,1
874416,"emergency_funds","2012-07-04",0,NA
732566,"business","2012-09-03",1,0
893474,"investment","2012-10-08",0,NA
921027,"investment","2012-07-10",0,NA
41018,"home","2012-05-23",1,0
38929,"other","2012-03-30",1,1
443731,"home","2012-02-13",0,NA
210067,"investment","2012-02-06",0,NA
434155,"home","2012-06-19",0,NA
655597,"business","2012-08-31",1,1
582821,"investment","2012-01-10",0,NA
914324,"business","2012-02-23",0,NA
916477,"other","2012-09-19",0,NA
121723,"business","2012-08-07",1,1
993496,"investment","2012-12-28",1,1
790951,"emergency_funds","2012-02-10",0,NA
632046,"home","2012-06-14",0,NA
172174,"business","2012-12-17",1,0
354786,"business","2012-08-16",0,NA
614978,"business","2012-11-08",0,NA
432316,"other","2012-06-21",0,NA
173107,"business","2012-03-27",0,NA
712420,"home","2012-11-13",0,NA
60479,"emergency_funds","2012-04-16",0,NA
384271,"emergency_funds","2012-12-27",1,0
189463,"other","2012-04-03",0,NA
782340,"home","2012-10-09",1,0
688548,"investment","2012-03-21",0,NA
364342,"investment","2012-11-12",0,NA
486097,"home","2012-03-14",1,1
332854,"emergency_funds","2012-06-11",0,NA
695410,"emergency_funds","2012-08-07",0,NA
973021,"business","2012-11-13",1,1
573921,"home","2012-12-06",0,NA
237971,"business","2012-11-22",1,1
343898,"other","2012-04-06",1,0
765928,"other","2012-11-01",0,NA
803092,"other","2012-11-28",0,NA
802622,"home","2012-05-01",0,NA
491836,"investment","2012-05-04",0,NA
94910,"business","2012-07-17",0,NA
598415,"investment","2012-05-15",0,NA
885773,"emergency_funds","2012-01-09",1,0
339201,"business","2012-11-23",0,NA
951629,"home","2012-10-15",0,NA
690353,"other","2012-11-16",0,NA
688200,"business","2012-09-05",0,NA
249471,"home","2012-09-17",0,NA
686734,"investment","2012-08-13",0,NA
449939,"emergency_funds","2012-05-07",1,0
52379,"business","2012-08-27",0,NA
625127,"investment","2012-11-13",1,0
949452,"home","2012-01-31",1,1
387922,"home","2012-06-05",0,NA
39749,"business","2012-11-01",1,1
415995,"home","2012-08-23",0,NA
276573,"other","2012-05-30",0,NA
166051,"business","2012-11-26",1,1
424182,"business","2012-10-30",0,NA
963446,"business","2012-06-27",0,NA
446954,"business","2012-11-20",1,1
662084,"other","2012-07-09",0,NA
169129,"home","2012-03-05",1,1
859535,"other","2012-12-18",1,1
208112,"investment","2012-05-09",0,NA
873521,"business","2012-01-17",0,NA
278431,"investment","2012-06-28",0,NA
85723,"investment","2012-04-09",0,NA
143950,"other","2012-11-28",1,1
582682,"business","2012-09-21",0,NA
978612,"emergency_funds","2012-08-13",0,NA
235936,"home","2012-05-03",1,1
891262,"home","2012-06-21",0,NA
730155,"other","2012-07-23",0,NA
75063,"business","2012-07-11",0,NA
245345,"investment","2012-04-11",1,1
396999,"home","2012-06-27",1,1
945355,"business","2012-11-19",0,NA
767690,"business","2012-10-31",1,0
10579,"home","2012-06-11",1,1
423598,"home","2012-02-28",0,NA
129675,"other","2012-05-10",0,NA
842475,"home","2012-02-08",0,NA
671125,"emergency_funds","2012-04-10",1,0
315334,"investment","2012-12-06",1,0
788664,"emergency_funds","2012-04-30",1,1
617367,"emergency_funds","2012-06-22",1,1
500676,"emergency_funds","2012-11-08",0,NA
896601,"investment","2012-10-04",1,1
859358,"investment","2012-12-12",1,0
355664,"business","2012-11-14",1,0
440150,"business","2012-12-25",1,1
124119,"business","2012-09-19",0,NA
765797,"investment","2012-09-26",1,1
520981,"emergency_funds","2012-10-18",1,1
908234,"emergency_funds","2012-06-13",0,NA
667415,"investment","2012-09-03",0,NA
66314,"home","2012-07-02",1,1
4063,"emergency_funds","2012-06-21",1,0
767173,"home","2012-04-04",0,NA
732401,"emergency_funds","2012-10-25",0,NA
732485,"investment","2012-09-07",1,1
730190,"business","2012-08-15",0,NA
999906,"business","2012-05-08",1,1
712241,"home","2012-07-03",1,0
411587,"home","2012-08-23",1,0
861479,"home","2012-09-28",1,0
815538,"investment","2012-06-21",0,NA
677102,"investment","2012-04-04",0,NA
769321,"home","2012-09-27",0,NA
922808,"business","2012-09-18",0,NA
576657,"business","2012-07-10",1,1
246564,"emergency_funds","2012-06-11",0,NA
591213,"business","2012-08-20",1,1
883303,"home","2012-12-18",0,NA
764886,"emergency_funds","2012-12-13",1,1
479531,"investment","2012-11-15",0,NA
210189,"home","2012-01-31",0,NA
551535,"emergency_funds","2012-06-05",0,NA
774362,"home","2012-05-29",1,0
513954,"other","2012-08-20",0,NA
314835,"home","2012-02-23",0,NA
395975,"home","2012-07-31",0,NA
100603,"home","2012-09-07",1,1
291767,"emergency_funds","2012-08-08",0,NA
552836,"emergency_funds","2012-12-03",0,NA
382798,"business","2012-10-19",1,1
545468,"home","2012-12-28",0,NA
307434,"business","2012-07-11",1,1
360967,"investment","2012-05-14",0,NA
42936,"home","2012-06-07",1,1
94203,"investment","2012-12-03",0,NA
932429,"emergency_funds","2012-07-02",0,NA
389986,"investment","2012-06-04",1,0
931327,"business","2012-05-09",1,1
235657,"emergency_funds","2012-06-21",1,1
629142,"home","2012-07-31",0,NA
366461,"emergency_funds","2012-10-01",1,1
219551,"home","2012-08-22",0,NA
591497,"home","2012-04-04",1,0
24659,"other","2012-03-22",0,NA
686927,"investment","2012-11-22",1,1
176236,"emergency_funds","2012-06-04",0,NA
285163,"other","2012-06-26",0,NA
447334,"emergency_funds","2012-11-01",1,0
619441,"business","2012-11-01",1,1
957739,"other","2012-01-11",0,NA
93533,"investment","2012-07-05",0,NA
320876,"business","2012-12-18",1,1
166554,"home","2012-10-31",0,NA
677975,"emergency_funds","2012-08-27",0,NA
901458,"home","2012-09-14",1,1
604947,"emergency_funds","2012-01-23",0,NA
592239,"home","2012-04-25",1,1
979367,"home","2012-02-10",1,1
220386,"other","2012-06-25",0,NA
759632,"other","2012-03-13",0,NA
463149,"investment","2012-11-14",1,1
695618,"investment","2012-07-19",0,NA
962846,"investment","2012-04-04",1,0
736603,"business","2012-12-24",1,1
850657,"other","2012-01-09",0,NA
983000,"business","2012-01-06",1,1
35172,"emergency_funds","2012-10-30",0,NA
330852,"investment","2012-09-06",0,NA
669890,"home","2012-07-20",1,1
276586,"investment","2012-07-17",0,NA
789594,"business","2012-07-05",0,NA
824469,"emergency_funds","2012-02-09",1,0
295682,"business","2012-01-16",0,NA
353720,"business","2012-06-05",0,NA
285493,"investment","2012-08-14",0,NA
38179,"other","2012-08-21",1,1
490350,"home","2012-04-19",1,1
554624,"business","2012-08-02",0,NA
960831,"other","2012-01-11",0,NA
654699,"emergency_funds","2012-02-20",0,NA
225769,"home","2012-06-26",0,NA
101383,"investment","2012-01-26",1,1
780881,"business","2012-07-12",0,NA
948972,"other","2012-09-25",1,0
485767,"home","2012-03-21",1,1
152573,"other","2012-03-26",1,0
506104,"business","2012-09-10",0,NA
322906,"business","2012-06-12",0,NA
508184,"business","2012-07-18",1,1
