"date","shown","clicked","converted","avg_cost_per_click","total_revenue","ad"
2015-10-20,176147,17121,66,2.77,1100.39,"ad_group_3"
2015-10-21,171827,17571,65,2.84,1096.44,"ad_group_3"
2015-10-22,173992,20789,56,3.17,764.7,"ad_group_3"
2015-10-23,178666,16910,60,2.69,1180.53,"ad_group_3"
2015-10-24,172566,16290,55,2.62,586.47,"ad_group_3"
2015-10-25,171835,15424,60,2.66,827.59,"ad_group_3"
2015-10-26,167588,14278,48,2.61,899.76,"ad_group_3"
2015-10-27,166924,18142,56,2.95,657.8,"ad_group_3"
2015-10-28,165976,11521,56,2.27,1109.67,"ad_group_3"
2015-10-29,175382,12994,66,2.35,726.2,"ad_group_3"
2015-10-30,167348,16946,58,2.98,423.63,"ad_group_3"
2015-10-31,177567,19281,66,3.03,1106.48,"ad_group_3"
2015-11-01,174817,14789,61,2.41,958.47,"ad_group_3"
2015-11-02,170371,13185,65,2.16,146.67,"ad_group_3"
2015-11-03,166736,15003,57,2.48,663.82,"ad_group_3"
2015-11-04,185456,17034,70,2.61,1276.38,"ad_group_3"
2015-11-05,181327,17029,60,2.57,609.55,"ad_group_3"
2015-11-06,179641,17211,59,2.54,917.08,"ad_group_3"
2015-11-07,175998,16334,61,2.6,342.34,"ad_group_3"
2015-11-08,177030,16590,48,2.7,631.64,"ad_group_3"
2015-11-09,171919,17656,50,2.74,877.76,"ad_group_3"
2015-11-10,173890,17429,55,2.74,1075.39,"ad_group_3"
2015-11-11,177352,13319,67,2.23,1487.61,"ad_group_3"
2015-11-12,164968,16970,58,2.76,1219.31,"ad_group_3"
2015-11-13,161983,18414,51,2.96,1356.62,"ad_group_3"
2015-11-14,170795,17221,71,2.77,1199.74,"ad_group_3"
2015-11-15,163944,16796,55,2.99,701.02,"ad_group_3"
2015-11-16,158095,14451,57,2.65,898.02,"ad_group_3"
2015-11-17,170013,14245,61,2.4,769.21,"ad_group_3"
2015-11-18,175036,17086,53,2.8,1314.47,"ad_group_3"
2015-11-19,175120,17720,67,2.75,1581.06,"ad_group_3"
2015-11-20,167515,19102,50,3.09,634.37,"ad_group_3"
2015-11-21,157500,18173,48,3.04,192.84,"ad_group_3"
2015-11-22,162434,15964,49,2.86,340,"ad_group_3"
2015-10-01,76786,7383,408,2.82,8392.27,"ad_group_4"
2015-10-02,81869,6751,410,2.64,2002.69,"ad_group_4"
2015-10-03,83304,7588,482,2.7,4993.53,"ad_group_4"
2015-10-04,89154,5884,532,2.34,11691.53,"ad_group_4"
2015-10-05,83704,5460,355,2.07,4716.43,"ad_group_4"
2015-10-06,88400,6364,462,2.33,7314.58,"ad_group_4"
2015-10-07,91590,6846,435,2.31,5007.81,"ad_group_4"
2015-10-08,95398,7489,504,2.34,9687.23,"ad_group_4"
2015-10-09,90547,10061,518,3.15,9883.35,"ad_group_4"
2015-10-10,97211,8046,495,2.67,9042.51,"ad_group_4"
2015-10-11,91278,8906,448,2.68,6758.15,"ad_group_4"
2015-10-12,92607,8462,615,2.82,9780.44,"ad_group_4"
2015-10-13,96408,9073,407,2.66,4976.22,"ad_group_4"
2015-10-14,99376,7622,585,2.33,11242.3,"ad_group_4"
2015-10-15,94146,7878,473,2.51,7137.66,"ad_group_4"
2015-10-16,87338,7467,428,2.5,4670.9,"ad_group_4"
2015-10-17,88258,8173,422,2.67,3543.16,"ad_group_4"
2015-10-18,94097,10293,462,3.08,4303.01,"ad_group_4"
2015-10-19,92098,7616,557,2.54,5404.33,"ad_group_4"
2015-10-20,91104,8470,469,2.59,9861.93,"ad_group_4"
2015-10-21,92113,8068,533,2.73,11224.68,"ad_group_4"
2015-10-22,95558,6371,520,2.18,8187.12,"ad_group_4"
2015-10-23,93705,6818,499,2.24,8082.53,"ad_group_4"
2015-10-24,90312,8502,492,2.77,11524.66,"ad_group_4"
2015-10-25,95488,6512,470,2.29,6527.6,"ad_group_4"
2015-10-26,99116,9115,579,2.69,5442.57,"ad_group_4"
2015-10-27,86823,5533,480,1.96,3837.1,"ad_group_4"
2015-10-28,91067,6486,379,2.24,6913,"ad_group_4"
2015-10-29,90133,8498,534,2.81,6862.48,"ad_group_4"
2015-10-30,97793,7623,527,2.39,10208.65,"ad_group_4"
2015-10-31,93748,9352,528,2.83,6815.45,"ad_group_4"
2015-11-01,93170,9606,523,2.81,9800.3,"ad_group_4"
2015-11-02,95686,6801,548,2.27,8270.52,"ad_group_4"
2015-11-03,94865,8430,530,2.62,7833.98,"ad_group_4"
2015-11-04,90584,6622,473,2.27,8770.6,"ad_group_4"
2015-11-05,97512,8063,603,2.75,10105.39,"ad_group_4"
2015-11-06,97299,8679,497,2.75,5122.17,"ad_group_4"
2015-11-07,92297,7954,554,2.48,14174,"ad_group_4"
2015-11-08,89455,8518,365,2.61,6793.77,"ad_group_4"
2015-11-09,94671,7557,545,2.48,9370.2,"ad_group_4"
2015-11-10,94852,7989,469,2.6,5667.89,"ad_group_4"
2015-11-11,90748,7333,369,2.44,5580.96,"ad_group_4"
2015-11-12,91807,0,0,0,0,"ad_group_4"
2015-11-13,93681,6506,562,2.17,5211.39,"ad_group_4"
2015-11-14,97330,9240,500,2.86,6782.65,"ad_group_4"
2015-11-15,0,0,0,0,0,"ad_group_4"
2015-11-16,91300,9093,409,2.75,5383.36,"ad_group_4"
2015-11-17,91499,8284,463,2.7,8464.84,"ad_group_4"
2015-11-18,95304,7457,514,2.47,6020.44,"ad_group_4"
2015-11-19,92897,8240,474,2.62,7861.59,"ad_group_4"
2015-11-20,95726,7599,524,2.28,7658.51,"ad_group_4"
2015-11-21,96179,8025,494,2.49,6668.42,"ad_group_4"
2015-11-22,91684,7051,580,2.54,9644.26,"ad_group_4"
2015-10-01,44544,2993,201,2.01,3688.8,"ad_group_5"
2015-10-02,46663,2765,176,1.92,2978.13,"ad_group_5"
2015-10-03,47227,3410,184,2.22,3220.82,"ad_group_5"
2015-10-04,47088,3399,211,2.26,1518.43,"ad_group_5"
2015-10-05,43155,2619,184,1.95,4753.32,"ad_group_5"
2015-10-06,48936,2805,188,1.96,3839.81,"ad_group_5"
2015-10-07,46907,3202,176,2.09,3130.98,"ad_group_5"
2015-10-08,51637,3091,224,1.92,2435.29,"ad_group_5"
2015-10-09,51703,3511,144,2.2,1594.19,"ad_group_5"
2015-10-10,51275,3307,251,1.97,4816.49,"ad_group_5"
2015-10-11,53671,3314,262,1.88,6211.05,"ad_group_5"
2015-10-12,0,0,0,0,0,"ad_group_5"
2015-10-13,51312,3451,204,2.13,1532.23,"ad_group_5"
2015-10-14,49646,3239,194,2.03,3383.84,"ad_group_5"
2015-10-15,54013,3113,219,1.95,3339.15,"ad_group_5"
2015-10-16,54728,3525,264,2.04,4890.3,"ad_group_5"
2015-10-17,55677,3890,239,2.14,2747.01,"ad_group_5"
2015-10-18,52309,3752,192,2.11,3634.47,"ad_group_5"
2015-10-19,50472,3465,172,2.13,2762.59,"ad_group_5"
2015-10-20,56946,3331,215,1.9,3815.05,"ad_group_5"
2015-10-21,52872,3417,257,2.04,5051.79,"ad_group_5"
2015-10-22,55038,3707,236,2.19,3767.73,"ad_group_5"
2015-10-23,56370,3031,199,1.93,3444.43,"ad_group_5"
2015-10-24,57418,3067,190,1.79,4160.74,"ad_group_5"
2015-10-25,53563,3384,236,2.03,3882.3,"ad_group_5"
2015-10-26,47770,3013,204,2.05,3059.62,"ad_group_5"
2015-10-27,53050,3860,217,2.41,3760.36,"ad_group_5"
2015-10-28,51714,3118,235,1.85,2946.97,"ad_group_5"
2015-10-29,51098,3031,217,1.94,5535.4,"ad_group_5"
2015-10-30,54978,3967,206,2.27,4248.09,"ad_group_5"
2015-10-31,57164,3597,224,2.01,3819.95,"ad_group_5"
2015-11-01,53497,3362,269,1.98,4908.69,"ad_group_5"
2015-11-02,53184,3695,227,2.09,4698.16,"ad_group_5"
2015-11-03,51764,3128,194,2.01,3429.58,"ad_group_5"
2015-11-04,54222,2680,244,1.9,5672.91,"ad_group_5"
2015-11-05,51459,2913,263,1.72,3814.34,"ad_group_5"
2015-11-06,49860,3930,180,2.42,3075.76,"ad_group_5"
2015-11-07,53999,3229,220,2.03,3148.65,"ad_group_5"
2015-11-08,53272,3304,187,1.94,2161.74,"ad_group_5"
2015-11-09,53674,3618,255,2,1103.02,"ad_group_5"
2015-11-10,54776,3621,182,1.97,3398.06,"ad_group_5"
2015-11-11,52699,2645,252,1.85,3617.23,"ad_group_5"
2015-11-12,55159,3597,199,1.88,3415.06,"ad_group_5"
2015-11-13,52207,3463,209,2.12,2524.73,"ad_group_5"
2015-11-14,53435,3724,218,2.12,3043.25,"ad_group_5"
2015-11-15,52354,3309,200,1.99,2979.31,"ad_group_5"
2015-11-16,54462,3555,214,2.12,2811.31,"ad_group_5"
2015-11-17,54235,3676,245,2.11,4270.76,"ad_group_5"
2015-11-18,53804,3280,203,1.79,3350.88,"ad_group_5"
2015-11-19,55582,3268,222,2.04,3498.45,"ad_group_5"
2015-11-20,53701,3687,206,2.15,4264.04,"ad_group_5"
2015-11-21,52281,3119,233,2.01,5192.94,"ad_group_5"
2015-11-22,56566,3668,265,1.86,3511.08,"ad_group_5"
2015-10-01,33559,1126,15,1.62,238.79,"ad_group_6"
2015-10-02,35711,1191,20,1.5,262.54,"ad_group_6"
2015-10-03,37048,1308,22,1.77,208.01,"ad_group_6"
2015-10-04,37934,1331,25,1.66,251.88,"ad_group_6"
2015-10-05,34870,1210,21,1.59,327.18,"ad_group_6"
2015-10-06,34167,1142,20,1.79,299.95,"ad_group_6"
2015-10-07,36650,1226,24,1.56,282.31,"ad_group_6"
2015-10-08,41144,1456,23,1.57,342.82,"ad_group_6"
2015-10-09,41332,1110,24,1.4,352.01,"ad_group_6"
2015-10-10,39516,1547,22,1.75,490.58,"ad_group_6"
2015-10-11,38025,1445,22,1.75,285.97,"ad_group_6"
2015-10-12,40404,1323,22,1.53,371.93,"ad_group_6"
2015-10-13,39303,1351,24,1.68,313.45,"ad_group_6"
2015-10-14,42171,1375,27,1.71,298.12,"ad_group_6"
2015-10-15,37143,1296,22,1.71,225.51,"ad_group_6"
2015-10-16,41047,1168,22,1.48,283.04,"ad_group_6"
2015-10-17,41891,1484,18,1.54,305.86,"ad_group_6"
2015-10-18,41370,1523,23,1.63,546.01,"ad_group_6"
2015-10-19,37533,1211,23,1.5,476.75,"ad_group_6"
2015-10-20,40135,1431,22,1.63,332.65,"ad_group_6"
2015-10-21,38414,1280,23,1.59,448.41,"ad_group_6"
2015-10-22,42439,1264,26,1.41,175.44,"ad_group_6"
2015-10-23,40045,1213,23,1.6,264.12,"ad_group_6"
2015-10-24,38089,1392,21,1.64,419.71,"ad_group_6"
2015-10-25,39236,1232,25,1.53,372.99,"ad_group_6"
2015-10-26,42717,1441,27,1.56,280.36,"ad_group_6"
2015-10-27,41415,1307,18,1.49,156,"ad_group_6"
2015-10-28,40440,1449,28,1.51,643.28,"ad_group_6"
2015-10-29,39907,1624,25,1.7,482.88,"ad_group_6"
2015-10-30,40201,1246,19,1.46,198.44,"ad_group_6"
2015-10-31,43538,1596,26,1.78,428.23,"ad_group_6"
2015-11-01,38802,1391,22,1.64,205.11,"ad_group_6"
2015-11-02,36919,1125,24,1.55,555.54,"ad_group_6"
2015-11-03,42654,1280,25,1.43,192.79,"ad_group_6"
2015-11-04,41914,1217,24,1.33,343.08,"ad_group_6"
2015-11-05,40198,1288,26,1.57,197.27,"ad_group_6"
2015-11-06,41027,1368,22,1.72,291.79,"ad_group_6"
2015-11-07,39707,1379,21,1.69,482.22,"ad_group_6"
2015-11-08,39917,1307,19,1.64,165.64,"ad_group_6"
2015-11-09,40675,1459,22,1.68,346.91,"ad_group_6"
2015-11-10,38022,1284,15,1.66,177.2,"ad_group_6"
2015-11-11,38789,1277,25,1.5,409.32,"ad_group_6"
2015-11-12,39353,1216,28,1.68,445.28,"ad_group_6"
2015-11-13,38041,1195,18,1.45,363.89,"ad_group_6"
2015-11-14,40487,1508,23,1.55,169.74,"ad_group_6"
2015-11-15,38704,1225,24,1.62,272.38,"ad_group_6"
2015-11-16,41754,1475,32,1.61,464.7,"ad_group_6"
2015-11-17,41141,1399,22,1.51,465.04,"ad_group_6"
2015-11-18,39796,1309,27,1.38,518.43,"ad_group_6"
2015-11-19,39279,1491,25,1.65,274.26,"ad_group_6"
2015-11-20,42028,1280,26,1.56,449.09,"ad_group_6"
2015-11-21,40088,1314,26,1.47,470.62,"ad_group_6"
2015-11-22,40800,1241,26,1.48,409.55,"ad_group_6"
2015-10-01,48431,3475,24,1.5,396.23,"ad_group_7"
2015-10-02,51042,4387,24,1.79,391.11,"ad_group_7"
2015-10-03,48027,4558,22,1.96,284.86,"ad_group_7"
2015-10-04,51300,3632,27,1.48,382.16,"ad_group_7"
2015-10-05,49241,5186,20,2.17,436.94,"ad_group_7"
2015-10-06,49397,5457,22,2.28,449.32,"ad_group_7"
2015-10-07,49092,4332,22,1.83,362.18,"ad_group_7"
2015-10-08,57295,5777,25,2.08,555.54,"ad_group_7"
2015-10-09,61783,4865,27,1.65,392.4,"ad_group_7"
2015-10-10,60804,6065,30,2.06,570.74,"ad_group_7"
2015-10-11,60140,4443,22,1.54,305.48,"ad_group_7"
2015-10-12,56378,4829,24,1.79,439.93,"ad_group_7"
2015-10-13,54029,5025,27,1.92,474.02,"ad_group_7"
2015-10-14,57754,4461,27,1.61,671.05,"ad_group_7"
2015-10-15,56253,4627,27,1.71,151.78,"ad_group_7"
2015-10-16,53060,5330,25,2.08,436.39,"ad_group_7"
2015-10-17,53555,5174,24,1.99,371.09,"ad_group_7"
2015-10-18,58944,5433,30,1.9,538.36,"ad_group_7"
2015-10-19,57219,5018,22,1.82,339.23,"ad_group_7"
2015-10-20,57710,5122,24,1.84,508.91,"ad_group_7"
2015-10-21,58277,5528,24,1.96,476.1,"ad_group_7"
2015-10-22,55163,4722,26,1.78,510.9,"ad_group_7"
2015-10-23,56005,5722,25,2.11,373.78,"ad_group_7"
2015-10-24,58313,4929,25,1.75,416.64,"ad_group_7"
2015-10-25,55731,4551,23,1.71,264.08,"ad_group_7"
2015-10-26,56933,4971,24,1.81,213.04,"ad_group_7"
2015-10-27,58472,6127,25,2.17,348.5,"ad_group_7"
2015-10-28,55046,4786,22,1.8,320.12,"ad_group_7"
2015-10-29,60046,4588,25,1.59,364.54,"ad_group_7"
2015-10-30,56401,5134,27,1.87,533.46,"ad_group_7"
2015-10-31,59376,5329,27,1.87,593.23,"ad_group_7"
2015-11-01,56429,4828,27,1.78,455.81,"ad_group_7"
2015-11-02,54292,4707,22,1.8,627.95,"ad_group_7"
2015-11-03,58089,5024,22,1.78,465.26,"ad_group_7"
2015-11-04,55553,4840,29,1.81,599.48,"ad_group_7"
2015-11-05,54569,4473,21,1.7,92.79,"ad_group_7"
2015-11-06,54417,4756,23,1.81,503.08,"ad_group_7"
2015-11-07,54555,5279,24,2,216.34,"ad_group_7"
2015-11-08,54761,4522,26,1.71,354.39,"ad_group_7"
2015-11-09,58321,4703,24,1.69,534.86,"ad_group_7"
2015-11-10,58434,5572,25,1.97,359.9,"ad_group_7"
2015-11-11,57076,4390,27,1.6,291.88,"ad_group_7"
2015-11-12,54202,3717,24,1.44,296,"ad_group_7"
2015-11-13,55216,4402,26,1.66,477.31,"ad_group_7"
2015-11-14,56212,4717,28,1.75,602.11,"ad_group_7"
2015-11-15,57244,4801,23,1.75,287.35,"ad_group_7"
2015-11-16,56840,4566,26,1.67,397.64,"ad_group_7"
2015-11-17,58996,5236,24,1.84,423.38,"ad_group_7"
2015-11-18,55421,5052,29,1.89,454.09,"ad_group_7"
2015-11-19,56935,4270,26,1.56,549.56,"ad_group_7"
2015-11-20,53520,4600,25,1.78,397.97,"ad_group_7"
2015-11-21,57626,4611,32,1.68,226.17,"ad_group_7"
2015-11-22,56528,5445,24,1.99,252.87,"ad_group_7"
2015-10-01,38089,2555,75,2.14,917.8,"ad_group_8"
2015-10-02,37322,2548,66,2,852.62,"ad_group_8"
2015-10-03,36878,2444,57,2.15,1082.23,"ad_group_8"
2015-10-04,35019,2546,56,2.35,710.67,"ad_group_8"
2015-10-05,38195,2354,65,2.13,823.55,"ad_group_8"
2015-10-06,39702,2010,79,1.69,967.91,"ad_group_8"
2015-10-07,37078,2277,54,1.9,592.41,"ad_group_8"
2015-10-08,42190,2116,74,1.77,597.1,"ad_group_8"
2015-10-09,44114,2698,75,1.99,1217.93,"ad_group_8"
2015-10-10,43509,2887,73,2.1,706.51,"ad_group_8"
2015-10-11,40341,2394,69,1.96,546.77,"ad_group_8"
2015-10-12,41306,2678,65,1.99,616.6,"ad_group_8"
2015-10-13,43178,2434,76,1.83,1331.97,"ad_group_8"
2015-10-14,40855,2514,67,1.94,665.47,"ad_group_8"
2015-10-15,47404,3076,79,2.12,1339.64,"ad_group_8"
2015-10-16,46949,2950,79,2.09,1310.35,"ad_group_8"
2015-10-17,47618,2999,83,2,1766.1,"ad_group_8"
2015-10-18,43080,2988,78,2.2,1619.59,"ad_group_8"
2015-10-19,40887,2777,77,2.2,951.69,"ad_group_8"
2015-10-20,44620,2727,74,1.83,731.73,"ad_group_8"
2015-10-21,46338,2343,79,1.74,743.15,"ad_group_8"
2015-10-22,47264,2740,82,1.94,1839.05,"ad_group_8"
2015-10-23,45244,2285,86,1.78,1707.46,"ad_group_8"
2015-10-24,45116,2794,76,2,904.64,"ad_group_8"
2015-10-25,43567,2844,69,2.05,1124.33,"ad_group_8"
2015-10-26,43864,2778,67,1.93,919.05,"ad_group_8"
2015-10-27,46296,3279,67,2.13,1006.99,"ad_group_8"
2015-10-28,48201,3006,94,1.92,1947.51,"ad_group_8"
2015-10-29,44534,2373,67,1.89,1356.38,"ad_group_8"
2015-10-30,44727,2538,79,1.8,575.41,"ad_group_8"
2015-10-31,46766,2870,90,1.95,1006.02,"ad_group_8"
2015-11-01,41547,2915,79,1.97,929.81,"ad_group_8"
2015-11-02,44413,2426,77,1.96,741.92,"ad_group_8"
2015-11-03,44727,2770,68,1.97,230.51,"ad_group_8"
2015-11-04,43411,2814,82,1.97,1970.69,"ad_group_8"
2015-11-05,46053,2725,77,1.94,1163.04,"ad_group_8"
2015-11-06,44097,2557,81,1.84,736.42,"ad_group_8"
2015-11-07,45919,2757,78,2.04,2081,"ad_group_8"
2015-11-08,45852,2876,77,1.99,1384.72,"ad_group_8"
2015-11-09,44825,2278,74,1.77,908.41,"ad_group_8"
2015-11-10,45784,2754,80,2,844.36,"ad_group_8"
2015-11-11,42756,2870,65,2.03,698.24,"ad_group_8"
2015-11-12,45529,2827,75,2,924.57,"ad_group_8"
2015-11-13,47398,2462,76,1.8,1223.77,"ad_group_8"
2015-11-14,46691,2577,90,1.92,1268.74,"ad_group_8"
2015-11-15,47118,2564,75,1.92,589.98,"ad_group_8"
2015-11-16,47398,3100,81,2.05,282.23,"ad_group_8"
2015-11-17,44560,2464,78,1.9,1223.84,"ad_group_8"
2015-11-18,46764,2193,84,1.71,1068.82,"ad_group_8"
2015-11-19,47632,2793,83,1.78,940.5,"ad_group_8"
2015-11-20,45424,2921,78,2.08,1259.17,"ad_group_8"
2015-11-21,46754,2626,88,1.84,1440.78,"ad_group_8"
2015-11-22,43832,2650,85,1.95,1516.56,"ad_group_8"
2015-10-01,102898,221,1,0.09,14.85,"ad_group_9"
2015-10-02,110227,246,1,0.1,15.7,"ad_group_9"
2015-10-03,109790,219,1,0.1,12.1,"ad_group_9"
2015-10-04,111172,220,1,0.09,20.08,"ad_group_9"
2015-10-05,120625,243,1,0.09,14.14,"ad_group_9"
2015-10-06,110492,217,1,0.09,8.14,"ad_group_9"
2015-10-07,116299,232,1,0.09,15.65,"ad_group_9"
